District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIIR,Kategoria VIIIPR,R,PR
OSTROWSKI (OSTRÓW WIELKOPOLSKI),1.0,0.0,1.0,0.0,2.340347384364187,0.0,9.891565714647223,1.1701736921820935,23.88856690225387,1.1054354729594245,37.75609165141518,0.17017369218209355,58.8811822250188,4.040697253736756,607.7928300887638,39.84048497128204,742.5505839664631,46.326965082342404
POZNAŃ (MIASTO),2.0,0.0,3.0,0.0,8.0,0.0,91.0,2.0,130.0,5.0,132.0,8.0,361.0,18.0,2003.0,102.0,2730.0,135.0
RAWICKI,1.016705367338637,0.0,0.0,0.0,0.0,0.0,10.015148917895385,1.995434545804528,11.202747135161381,0.018988094436373153,15.32653288782505,0.997717272902264,22.34852998701364,0.0,391.10876881995694,21.17991986418402,451.01843311519104,24.192059777327184
SZAMOTULSKI,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,22.0,0.0,47.0,1.0,26.0,1.0,497.0,14.0,600.0,16.0
ŚREDZKI,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,11.0,1.0,34.0,2.0,36.0,1.0,354.0,24.0,440.0,29.0
ŚREMSKI,0.02756681560778987,0.0,0.0,0.0,0.9878201729680365,0.0,6.997441657599625,0.0,11.086556427510722,1.0153869885758264,28.458402495730926,2.9634605189041094,33.7007383322568,0.9878201729680365,423.3245034114714,9.000648819143487,504.5830293131453,13.96731649959146
WĄGROWIECKI,3.646016387751378e-11,0.0,0.0,0.0,1.0000503551268964,0.0,6.001309901216109,1.0000503551268964,12.001813586301777,1.0000503551268964,23.003979925359584,7.292032775502755e-11,18.005340582824562,0.0,375.0124334544442,15.00035221982265,435.02492780530963,17.00045293014936
WOLSZTYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,8.0,2.0,23.0,2.0,26.0,3.0,462.0,22.0,524.0,30.0
WRZESIŃSKI,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,13.0,0.0,15.0,1.0,27.0,0.0,317.0,24.0,378.0,27.0
ŻNIŃSKI,0.9999999999632098,0.0,0.0,0.0,0.0,0.0,2.999999999889629,0.0,9.999999999632097,0.0,12.999999999521727,1.9999999999264195,27.999999998969873,0.0,330.99999998782243,28.999999998933085,385.999999985799,30.999999998859504
