District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Evangelical,% Evangelical,Orthodox,% Orthodox,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
KOŚCIERSKI,38373.76612890839,0.7626785433563067,5.969712183348346,0.00011864877763094462,10993.120409910598,0.21948494894815568,10.757650376498773,0.00021463227725536507,60.67618316114403,0.001210399363635222,4.023726626576276,7.977884903955468e-05,8.679885544410661,0.00017372322559596642
LUBAWSKI,52759.0,0.901940337,3.0,5.12864e-05,5587.0,0.095512437,44.0,0.000752201,92.0,0.001572784,8.0,0.000136764,2.0,3.4191e-05
SĘPOLEŃSKI,14986.0,0.537595064,14.0,0.000502224,12553.0,0.450315684,15.0,0.000538097,273.0,0.009793371,16.0,0.00057397,19.0,0.00068159
STAROGARDZKI,62649.02324859246,1.1278635536968493,11.083611277105527,0.000195565248849806,7221.157730362903,0.12727129173897622,44.18978603391585,0.0008978930136753441,297.12560402502965,0.004894168638233456,8.20617440377624,0.00015479027487532774,13.778146049037549,0.0002944256404389845
ŚWIECKI,61588.45561818781,0.8309653821630396,42.91306303280432,0.0005330469051873018,23640.30063922624,0.2925845197320567,41.024109059724175,0.000717686454273105,315.5525109187801,0.0039218264857439206,10.459936267110223,0.00014204683641631777,14.836598391116523,0.00022976983015885724
TCZEWSKI,47150.92220620508,1.4661761854591662,20.987127817236082,0.0006047187472231199,6406.179607497656,0.1908069137376615,24.88415035512474,0.0008542863745118355,114.90989472065257,0.0033377762176896564,5.31187969539347,0.00017788819949717953,11.598015025259103,0.000418169118192477
TORUŃ (MIASTO),34443.593837964225,0.8680276392795753,42.246277279704636,0.0010631310963490092,5486.434413844452,0.13737721001497064,107.36886193016738,0.0027141506578622823,355.55273890586153,0.009008150989916803,77.28603085107976,0.0019584392897668613,11.163446200617,0.0002820547282535885
TORUŃSKI,40084.43957364317,0.7479815224363444,58.831836212187945,0.0010944629870569406,12845.569889033031,0.24009805946797885,64.53286073829231,0.0012002850190150098,77.28524385543956,0.0014487351720650372,13.999526718344995,0.00026180585530261497,8.226384658712885,0.0001544436091809935
TUCHOLSKI,30003.335547461007,0.8371447479961323,17.510926278605943,0.00048786839291157234,5165.085740848576,0.1403840919308446,300.19411904595285,0.008702830088113778,139.83003382646032,0.003914846231541516,2.189798487242985,5.90078899206838e-05,5.201165036359449,0.00014419216837308673
WĄBRZESKI,28414.439177544227,0.6032789632480849,17.118850794785153,0.0003634579296022147,16105.034408827323,0.34193279027700385,38.99293792145507,0.000827875232813941,205.42620953742184,0.004361490399990243,11.412567196523437,0.00024230496938572094,1.902094532753906,4.038412986271128e-05
MORSKI,60595.89159444467,1.6878786942192086,8.51494622702859,0.00023239267758009007,7171.371744338412,0.21179384731214793,112.25799501335351,0.0032449988485392595,98.40897029094353,0.00268993543936714,11.479586643556484,0.00035037015145540596,1.9062463846195048,5.614445884179832e-05
GDYNIA (MIASTO),3329.1084055553297,0.08414987678079144,0.48505377297140995,1.2092322419909922e-05,350.6282556615882,0.009286121687852077,5.7420049866464895,0.0001492931514607401,5.591029709056476,0.00013952356063286027,0.5204133564435169,1.4230848544594078e-05,0.09375361538049523,2.4769411582016823e-06
BYDGOSKI,31875.22052372506,0.6057624573400429,77.96629561449261,0.0014816854758083124,20387.186735297324,0.38744178512311367,43.98098726971378,0.0008358226786167807,181.92135643381607,0.003457266443408693,7.99654313994796,0.00015196730539946353,22.990061527350385,0.0004369071275373367
