Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len;Konopie;Rzepak i rzepik;Chmiel;Tytoń
KRAKOWSKIE;ROPCZYCKI; 11 204 ; 19 912 ; 5 705 ; 10 790 ; 12 523 ; 111 ; 77 ; 355 ; 12 ; 301 ; 89 ; 77 ; 120 ; 50 ; 48 ; 13 ; -   ; -   
KRAKOWSKIE;TARNOWSKI; 8 055 ; 13 279 ; 4 034 ; 8 499 ; 7 957 ; 25 ; 136 ; 155 ; 19 ; 151 ; 113 ; 129 ; 178 ; 21 ; 11 ; 5 ; 7 ; -   
KRAKOWSKIE;WADOWICKI; 5 451 ; 12 532 ; 1 484 ; 14 943 ; 11 758 ; 80 ; -   ; 3 ; 8 ; 275 ; 65 ; 55 ; 51 ; 10 ; -   ; -   ; -   ; -   
KRAKOWSKIE;ŻYWIECKI; 1 529 ; 5 666 ; 2 773 ; 13 922 ; 10 215 ; -   ; -   ; -   ; -   ; 193 ; 24 ; 7 ; 11 ; 83 ; -   ; 2 ; -   ; -   
LUBELSKIE;BIALSKI (BIAŁA PODLASKA); 6 538 ; 38 166 ; 3 486 ; 14 766 ; 18 162 ; 23 ; 1 297 ; 647 ; 1 ; 245 ; 258 ; 874 ; 114 ; 488 ; 177 ; 373 ; -   ; -   
LUBELSKIE;BIŁGORAJSKI; 5 336 ; 17 943 ; 5 060 ; 10 690 ; 9 763 ; -   ; 5 016 ; 858 ; 1 ; 65 ; 24 ; 142 ; 57 ; 639 ; 664 ; 2 ; -   ; -   
LUBELSKIE;CHEŁMSKI; 18 305 ; 30 927 ; 10 081 ; 10 177 ; 15 701 ; 511 ; 1 850 ; 578 ; 2 ; 891 ; 156 ; 519 ; 173 ; 272 ; 241 ; 367 ; 11 ; 16 
LUBELSKIE;GARWOLIŃSKI; 5 344 ; 37 756 ; 9 378 ; 12 326 ; 18 360 ; 3 ; 2 501 ; 965 ; 3 ; 253 ; 171 ; 325 ; 86 ; 466 ; 53 ; 278 ; 4 ; -   
LUBELSKIE;HRUBIESZOWSKI; 24 616 ; 16 804 ; 10 210 ; 12 819 ; 10 031 ; 1 564 ; 2 049 ; 778 ; 15 ; 333 ; 216 ; 380 ; 320 ; 273 ; 248 ; 604 ; 16 ; 98 
LUBELSKIE;JANOWSKI; 10 233 ; 26 849 ; 11 046 ; 16 990 ; 13 423 ; 321 ; 5 501 ; 1 386 ; 52 ; 3 239 ; 285 ; 281 ; 181 ; 577 ; 356 ; 307 ; 35 ; -   
LUBELSKIE;KRASNOSTAWSKI; 23 728 ; 19 827 ; 9 772 ; 11 623 ; 12 072 ; 1 148 ; 2 682 ; 639 ; 9 ; 1 506 ; 244 ; 174 ; 33 ; 198 ; 166 ; 250 ; 41 ; 133 
LUBELSKIE;LUBARTOWSKI; 4 779 ; 32 189 ; 3 737 ; 8 580 ; 12 522 ; 178 ; 6 858 ; 469 ; 5 ; 316 ; 100 ; 91 ; 40 ; 222 ; 41 ; 187 ; 40 ; 18 
LUBELSKIE;LUBELSKI; 28 676 ; 31 588 ; 13 144 ; 17 898 ; 17 198 ; 2 667 ; 3 615 ; 448 ; 24 ; 2 402 ; 146 ; 226 ; 82 ; 139 ; 69 ; 417 ; 47 ; 104 
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;;;;;;;;;;;
LUBELSKIE;PUŁAWSKI; 8 892 ; 28 040 ; 11 406 ; 9 714 ; 14 518 ; 1 076 ; 3 939 ; 1 363 ; 3 ; 995 ; 153 ; 239 ; 60 ; 150 ; 106 ; 136 ; 156 ; 101 
LUBELSKIE;RADZYŃSKI; 8 513 ; 23 597 ; 2 082 ; 12 989 ; 12 933 ; 98 ; 2 751 ; 668 ; 8 ; 122 ; 80 ; 409 ; 73 ; 473 ; 48 ; 178 ; -   ; -   
LUBELSKIE;SIEDLECKI; 7 246 ; 39 862 ; 2 726 ; 14 601 ; 19 283 ; 13 ; 369 ; 161 ; 4 ; 170 ; 1 337 ; 849 ; 36 ; 962 ; 16 ; 121 ; -   ; -   
LUBELSKIE;SOKOŁOWSKI; 6 601 ; 23 390 ; 3 483 ; 7 551 ; 12 824 ; 300 ; 240 ; 199 ; 4 ; 591 ; 777 ; 663 ; 64 ; 633 ; 10 ; 48 ; -   ; -   
LUBELSKIE;TOMASZOWSKI; 16 533 ; 16 933 ; 10 262 ; 10 733 ; 9 699 ; 1 008 ; 1 750 ; 693 ; 17 ; 238 ; 275 ; 251 ; 216 ; 349 ; 417 ; 184 ; 21 ; 58 
LUBELSKIE;WĘGROWSKI; 5 011 ; 20 799 ; 2 600 ; 7 237 ; 13 118 ; 110 ; 689 ; 366 ; 1 ; 141 ; 166 ; 237 ; 15 ; 539 ; 7 ; 12 ; -   ; -   
LUBELSKIE;WŁODAWSKI; 7 897 ; 36 263 ; 3 394 ; 11 120 ; 13 581 ; 72 ; 5 233 ; 951 ; -   ; 31 ; 91 ; 558 ; 189 ; 637 ; 240 ; 429 ; 28 ; -   
LUBELSKIE;ZAMOJSKI; 16 630 ; 16 706 ; 9 154 ; 11 817 ; 10 264 ; 996 ; 1 704 ; 727 ; 12 ; 366 ; 136 ; 509 ; 142 ; 427 ; 422 ; 56 ; 19 ; 161 
LUBELSKIE;ŁUKOWSKI; 4 731 ; 40 946 ; 3 124 ; 13 541 ; 17 277 ; -   ; 3 509 ; 478 ; 2 ; 128 ; 103 ; 477 ; 47 ; 754 ; 16 ; 191 ; 28 ; -   
LWOWSKIE;BRZOZOWSKI; 6 133 ; 10 104 ; 3 722 ; 6 567 ; 6 002 ; 40 ; 33 ; 47 ; 2 ; 177 ; 75 ; 77 ; 90 ; 64 ; 104 ; 5 ; -   ; -   
