region,district,territory_date,centroid_lon,centroid_lat
stanisławowskie,tłumacki,20.02.1921,937530.3670626233,125869.98191233858
lubelskie,tomaszowski,20.02.1921,821229.0008557774,305920.6548887736
pomorskie,Toruń,20.02.1921,471754.4781771298,572782.137822086
pomorskie,toruński,20.02.1921,471518.83125524357,579584.4240457973
tarnopolskie,trembowelski,20.02.1921,984743.5294160012,176321.6116014399
pomorskie,tucholski,20.02.1921,430480.254220394,636386.7738772909
lwowskie,turczański,20.02.1921,791355.441940363,143915.92777919676
łódzkie,turecki,20.02.1921,476220.0259233103,450733.36367934686
krakowskie,wadowicki,20.02.1921,538971.4802228991,222067.2377314639
warszawskie,warszawski,20.02.1921,636516.6518099183,490632.6520949542
pomorskie,wąbrzeski,20.02.1921,496866.77963421185,594420.8640687736
poznańskie,wągrowiecki,20.02.1921,383181.375285481,551024.08336503
pomorskie,wejherowski,20.02.1921,449826.97285716096,739765.5840028629
lubelskie,węgrowski,20.02.1921,696903.42587027,512792.031697897
krakowskie,wielicki,20.02.1921,579309.2851446128,226694.67595659907
łódzkie,wieluński,20.02.1921,468781.59773702937,374918.79447352554
wileńskie,wilejski,20.02.1921,1024410.5233493907,761239.4843348596
wileńskie,wileńsko-trocki,16.07.1923,911867.6770603729,775861.9399663602
wileńskie,Wilno,14.04.1922,905289.7173681263,776545.8828584638
poznańskie,witkowski,20.02.1921,411939.7564682148,509528.7785398321
warszawskie,włocławski,20.02.1921,503119.70042469486,516264.4356216453
lubelskie,włodawski,20.02.1921,795238.6725169849,418751.99686696864
wołyńskie,włodzimierski,20.02.1921,872119.5022152427,346061.4383186755
kieleckie,włoszczowski,20.02.1921,561840.559685751,322888.06796904944
poznańskie,wolsztyński,20.02.1921,303433.5446601361,475650.83708418097
białostockie,wołkowyski,20.02.1921,860364.7501241359,589289.1712864147
nowogródzkie,nowogródzki,20.02.1921,970695.2795221208,703822.0545722576
poznańskie,wrzesiński,20.02.1921,406784.2563580492,490352.86432556756
poznańskie,wyrzyski,20.02.1921,389739.78441602486,594279.7292277544
białostockie,wysokomazowiecki,20.02.1921,743649.479784927,571002.2026412961
tarnopolskie,zaleszczycki,20.02.1921,994645.3896733178,122018.79676059162
lubelskie,zamojski,20.02.1921,790425.5290395106,322056.28202480945
tarnopolskie,zbaraski,20.02.1921,998808.9577860959,221766.6061802163
tarnopolskie,zborowski,20.02.1921,948175.3270728044,225511.24960307413
tarnopolskie,złoczowski,20.02.1921,919682.5002208082,236746.19803693763
poznańskie,żniński,20.02.1921,410304.5055241119,548221.0898402942
lwowskie,żółkiewski,20.02.1921,861113.8247545171,261061.28988935894
stanisławowskie,żydaczowski,20.02.1921,871982.155267345,176691.79480769622
krakowskie,żywiecki,20.02.1921,516645.7154810233,194464.25909327506
